venue_id,venue_name,venue_type,venue_lat,venue_lng,rating,reviews,price_level,h3_cell,open_now,current_busyness,day_mean,fullness_score,relative_score,expected_momentum_score,popularity_score,venue_base_hotness,area_hotness_smoothed,venue_hotness_final
ven_6f597070705374744e626552673442735738795f5f5f5f4a496843,Camp Randall Memorial Park,PARK,43.0704774,-89.4100684,0.0,0,0,89275800a8bffff,1,65.0,29.0,0.65,1.0,1.0,0.0,0.7425,0.207662,0.582049
ven_30324d744e45626f546c4452676f4254313356487a66714a496843,Filene Park,PARK,43.0953589,-89.3696254,3.0,1,0,89275800c83ffff,1,75.0,50.0,0.75,1.0,0.5,0.048828,0.717383,0.160758,0.550396
ven_6b69546b6f70764e784e3052676f4254527a6f76622d354a496843,250 N. Lake St - Madison UW Campus,BUS_STATION,43.071668,-89.397602,4.0,3,0,8927580085bffff,1,50.0,50.0,0.5,0.666667,0.875,0.130208,0.569271,0.164411,0.447813
ven_777361364a514d6e3643635267344274367a6f71727a384a496843,Crazylegs Plaza,PARK,43.0674157,-89.4137452,0.0,0,0,89275800a13ffff,1,55.0,43.0,0.55,0.852713,0.25,0.0,0.540814,0.172114,0.430204
ven_73326677493464456f6c2d5267344273714d73416259494a496843,Library Mall,PARK,43.075504,-89.3990071,4.5,117,0,89275800e27ffff,1,45.0,52.0,0.45,0.576923,0.0,0.5041,0.425987,0.166605,0.348172
ven_63634d4f716d392d54776e5267344273366c41416c556e4a496843,Post Farm Park,PARK,43.0763127,-89.4407439,4.3,4,0,89275801d73ffff,1,25.0,42.0,0.25,0.396825,0.0,0.162505,0.247798,0.094359,0.201766
ven_41354166615361622d5572526734427371386e726336454a496843,Langdon at Park - Memorial Union,BUS_STATION,43.0758939,-89.3998477,4.8,4,0,89275800e23ffff,1,15.0,37.0,0.15,0.27027,0.0,0.181401,0.166721,0.112807,0.150547
ven_6742705767396b414f4c4a52676f4254424571716778484a496843,The Old Fashioned,RESTAURANT,43.0762535,-89.3837007,4.5,4779,2,892758008d7ffff,1,0.0,0.0,0.0,0.0,0.0,0.895224,0.089522,0.138019,0.104071
ven_736a78625f325f45634e7752676f4254705a366c2d55794a496843,Izakaya Kuroyama,JAPANESE_RESTAURANT,43.0746797,-89.3926808,4.7,1267,1,892758008cbffff,1,0.0,32.0,0.0,0.0,0.0,0.788561,0.078856,0.159962,0.103188
ven_41494f764a38373438793952676f4254527a57423936794a496843,Ian’s Pizza Madison | Frances Street,PIZZA_RESTAURANT,43.0729482,-89.3956374,4.6,1488,1,89275800853ffff,1,0.0,38.0,0.0,0.0,0.0,0.789137,0.078914,0.156274,0.102122
ven_34493242496b594d30626152676f425439546f353155424a496843,Tipsy Cow,RESTAURANT,43.0747636,-89.3815616,4.5,2135,2,8927580088bffff,1,0.0,0.0,0.0,0.0,0.0,0.81011,0.081011,0.151209,0.102071
ven_514e3649707438612d357752676f4254684450706b36464a496843,Comedy on State,PERFORMING_ARTS,43.0749947,-89.3882241,4.7,1673,0,892758008c3ffff,1,0.0,0.0,0.0,0.0,0.0,0.819217,0.081922,0.145897,0.101115
ven_73654e4a395a6c68514d4d52676f4254527a6567732d534a496843,Nitty Gritty-Madison,AMERICAN_RESTAURANT,43.071836,-89.3956336,4.2,2461,2,89275800853ffff,1,0.0,33.0,0.0,0.0,0.0,0.77011,0.077011,0.156274,0.10079
ven_776162494a3658726c5f6152676f425456446f4b7063724a496843,State Street Brats,RESTAURANT,43.0747739,-89.3959444,4.1,1766,1,89275800e27ffff,1,0.0,18.0,0.0,0.0,0.0,0.719841,0.071984,0.166605,0.10037
ven_6362716a64677a6e656d5552676f4254395432706d51524a496843,Nattspil,RESTAURANT,43.0744314,-89.3797501,4.7,912,2,8927580088bffff,1,0.0,51.0,0.0,0.0,0.0,0.752311,0.075231,0.151209,0.098025
ven_63525f316f522d73644b6b52676f4254567a4370682d4c4a496843,Mediterranean Cafe,MEDITERANEAN_RESTAURANT,43.0747869,-89.3963192,4.6,571,1,89275800e27ffff,1,0.0,0.0,0.0,0.0,0.0,0.685798,0.06858,0.166605,0.097987
